PERIOD A PARAMETER,PERIOD B PARAMETER,ACCTTREE LEVEL03 FRIENDLY NAME,ACCTTREE LEVEL04,ACCT,SPD KEY CODE,SPDTYPE,FUND_CODE,DEPT_ID,PGM_CODE,PROJ_ID,ACTIVITY ID,SUBCLASS_CODE,GM SPONSOR BUDGET,BUDGET CONT,BUDGET TEMP,BUDGET,PERIOD ACTUALS,FY ACTUALS,ACTUALS,BUDGET SPENT PCNT,BUDGET BAL BEFORE ENCUMBS,BUDGET BAL BEFORE ENCUMBS PCNT,ENCUMBS,BUDGET BAL AFTER ENCUMBS1,BUDGET BAL AFTER ENCUMBS1 PCNT,FNA ENCUMBS,TOTAL ENCUMBS,BUDGET BAL AFTER ENCUMBS,BUDGET BAL AFTER ENCUMBS PCNT,PRIOR YEAR ACTUALS,CURRENT/PREVIOUS,ACCTTREE LEVEL0605 SUBTOTALING,ACCTTREE LEVEL04,ACCTTREE LEVEL036,ACCTTREE LEVEL035
1,998,REVENUES,STUDENT FEES & FEE REFUNDS,220100 -- STUDENT ACTIVITY FEES,12046905,12046905 -- UMC EXPANSION BONDS FEES,20,10438,29382, , , ,0,0,-2067928,-2067928,0,0,0,0,-2067928,1,0,-2067928,1,0,0,-2067928,1,360605,0,,,,
1,998,REVENUES,STUDENT FEES & FEE REFUNDS,220100 -- STUDENT ACTIVITY FEES,12016080,12016080 -- UMC SUPPORT,20,10430,15619, , , ,0,0,-5940412,-5940412,0,0,0,0,-5940412,1,0,-5940412,1,0,0,-5940412,1,-5771558,0,,,,
1,998,REVENUES,STUDENT FEES & FEE REFUNDS,220102 -- MANDATORY CAPITAL CONSTR FEE,12016080,12016080 -- UMC SUPPORT,20,10430,15619, , , ,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,,0,,,,,
1,998,REVENUES,STUDENT FEES & FEE REFUNDS,220102 -- MANDATORY CAPITAL CONSTR FEE,12046905,12046905 -- UMC EXPANSION BONDS FEES,20,10438,29382, , , ,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,,0,,,,,
1,998,REVENUES,STUDENT FEES & FEE REFUNDS,220120 -- MANDATORY STUDENT FEES (CCHE),12016080,12016080 -- UMC SUPPORT,20,10430,15619, , , ,0,0,0,0,-5940412,-5940412,-5940412,,5940412,,0,5940412,,0,0,5940412,,0,,,,,
1,998,REVENUES,STUDENT FEES & FEE REFUNDS,220120 -- MANDATORY STUDENT FEES (CCHE),12046905,12046905 -- UMC EXPANSION BONDS FEES,20,10438,29382, , , ,0,0,0,0,-2165869,-2165869,-2165869,,2165869,,0,2165869,,0,0,2165869,,-2477157,0.87433659,220000 - 229997 -- STUDENT FEES & FEE REFUNDS,220000 - 229999 -- STUDENT FEES & FEE REFUNDS,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,250102 -- SSEA EQUIPMENT RENTAL,12035033,12035033 -- UMC-RENT-UMC EQUIPMENT,20,10432,25993, , , ,0,0,-133926,-133926,-12295.26,-12295.26,-12295.26,0.09180637,-121630.74,0.90819363,0,-121630.74,0.90819363,0,0,-121630.74,0.90819363,-17158.11,0.71658592,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,250110 -- SSEA CONFERENCE FEE,12035031,12035031 -- UMC-RENT-UMC ROOMS,20,10432,25991, , , ,0,0,-66117,-66117,-42516.26,-42516.26,-42516.26,0.64304581,-23600.74,0.35695419,0,-23600.74,0.35695419,0,0,-23600.74,0.35695419,-47163.32,0.90146877,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254703 -- SSEA OTHER SALES,12035028,12035028 -- UMC GAMES-VIDEO GAMES,20,10437,25988, , , ,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,,-88.5,0,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254703 -- SSEA OTHER SALES,12001204,12001204 -- SHOE RENTAL,20,10437,66660, , , ,0,0,0,0,-66,-66,-66,,66,,0,66,,0,0,66,,-779.5,0.08466966,,,,
