PAGEBY1,PAGEBY2,ACCTTREE LEVEL02,ACCTTREE L02,ACCTTREE LEVEL03,ACCTTREE LEVEL04,ACCTTREE LEVEL05,ACCTTREE LEVEL06,ACCT,MTREF,MTREF VALUE,MTREF VALUE DESC,ACCT CODE,DESC,DESC,BUDGET,ACTUALS,ENCUMB,BAE CODE,SPDTYPE CODE,SPDTYPE DESC,FND,ORG,PGM,BU PC,PROJ,ACT,SUB,EPC,EXP PURPOSE DESC,POSN,JB CODE,JB DESC,REF,PO,INV ID,INV DATE,PAYCHECK NUM,VNDR,SRC,LN#,JRNL ID,JRNL DATE,FY,PD,POSTED DATE,PET OPER ID,PET DATE,PET SEQ NUM
 , ,200000 - 999999 -- INCOME STATEMENT,INCOME STATEMENT,200000 - 399999 -- REVENUES,220000 - 229999 -- STUDENT FEES & FEE REFUNDS,220000 - 229997 -- STUDENT FEES & FEE REFUNDS,220000 - 224999 -- STUDENT FEES,220100 -- STUDENT ACTIVITY FEES, , , ,220100,FY18 INITIAL BUDGET,,-143892,,,B_INI_TEMP,12010513,KVCU,20,10459,16079, , , , ,1500,STUDENT SERVICES, , , , , , ,, , ,B12,201,INIBUD18A,7/1/2017 0:00,2018,1,6/1/2017 0:00, ,, 
 , ,200000 - 999999 -- INCOME STATEMENT,INCOME STATEMENT,200000 - 399999 -- REVENUES,220000 - 229999 -- STUDENT FEES & FEE REFUNDS,220000 - 229997 -- STUDENT FEES & FEE REFUNDS,220000 - 224999 -- STUDENT FEES,220100 -- STUDENT ACTIVITY FEES, , , ,220100,F12016572 KVCU FALL 17,,,-71946,,ACTUALS,12010513,KVCU,20,10459,16079, , , , ,1500,STUDENT SERVICES, , , , , , ,, , ,BD2,10,1320916,9/15/2017 0:00,2018,3,9/22/2017 0:00, ,, 
 , ,200000 - 999999 -- INCOME STATEMENT,INCOME STATEMENT,200000 - 399999 -- REVENUES,220000 - 229999 -- STUDENT FEES & FEE REFUNDS,220000 - 229997 -- STUDENT FEES & FEE REFUNDS,220000 - 224999 -- STUDENT FEES,220100 -- STUDENT ACTIVITY FEES, , , ,220100,F12016572 KVCU SPRING 18,,,-71946,,ACTUALS,12010513,KVCU,20,10459,16079, , , , ,1500,STUDENT SERVICES, , , , , , ,, , ,BD2,10,1353303,2/15/2018 0:00,2018,8,2/27/2018 0:00, ,, 
 , ,200000 - 999999 -- INCOME STATEMENT,INCOME STATEMENT,200000 - 399999 -- REVENUES,220000 - 229999 -- STUDENT FEES & FEE REFUNDS,220000 - 229997 -- STUDENT FEES & FEE REFUNDS,220000 - 224999 -- STUDENT FEES,220100 -- STUDENT ACTIVITY FEES, , , ,220100,FY19 INITIAL BUDGET,,-145841,,,B_INI_TEMP,12010513,KVCU,20,10459,16079, , , , ,1500,STUDENT SERVICES, , , , , , ,, , ,B12,131,INIBUD19B,7/1/2018 0:00,2019,1,6/14/2018 0:00, ,, 
 , ,200000 - 999999 -- INCOME STATEMENT,INCOME STATEMENT,200000 - 399999 -- REVENUES,220000 - 229999 -- STUDENT FEES & FEE REFUNDS,220000 - 229997 -- STUDENT FEES & FEE REFUNDS,220000 - 224999 -- STUDENT FEES,220100 -- STUDENT ACTIVITY FEES, , , ,220100,F12016572 KVCU FALL 18,,,-72920,,ACTUALS,12010513,KVCU,20,10459,16079, , , , ,1500,STUDENT SERVICES, , , , , , ,, , ,BD2,10,1415206,9/15/2018 0:00,2019,3,9/28/2018 0:00, ,, 
 , ,200000 - 999999 -- INCOME STATEMENT,INCOME STATEMENT,200000 - 399999 -- REVENUES,220000 - 229999 -- STUDENT FEES & FEE REFUNDS,220000 - 229997 -- STUDENT FEES & FEE REFUNDS,220000 - 224999 -- STUDENT FEES,220100 -- STUDENT ACTIVITY FEES, , , ,220100,F12016572 KVCU SPRING 19,,,-72921,,ACTUALS,12010513,KVCU,20,10459,16079, , , , ,1500,STUDENT SERVICES, , , , , , ,, , ,BD2,10,1440647,1/15/2019 0:00,2019,7,1/30/2019 0:00, ,, 
 , ,200000 - 999999 -- INCOME STATEMENT,INCOME STATEMENT,200000 - 399999 -- REVENUES,220000 - 229999 -- STUDENT FEES & FEE REFUNDS,220000 - 229997 -- STUDENT FEES & FEE REFUNDS,220000 - 224999 -- STUDENT FEES,220100 -- STUDENT ACTIVITY FEES, , , ,220100,FY20 INITIAL BUDGET,,-147042,,,B_INI_TEMP,12010513,KVCU,20,10459,16079, , , , ,1500,STUDENT SERVICES, , , , , , ,, , ,B12,28,INIBUD20E,7/1/2019 0:00,2020,1,7/2/2019 0:00, ,, 
 , ,200000 - 999999 -- INCOME STATEMENT,INCOME STATEMENT,200000 - 399999 -- REVENUES,220000 - 229999 -- STUDENT FEES & FEE REFUNDS,220000 - 229997 -- STUDENT FEES & FEE REFUNDS,220000 - 224999 -- STUDENT FEES,220120 -- MANDATORY STUDENT FEES (CCHE), , , ,220120,F12016572 KVCU FALL 19,,,-73521,,ACTUALS,12010513,KVCU,20,10459,16079, , , , ,1500,STUDENT SERVICES, , , , , , ,, , ,BD2,10,1508224,9/25/2019 0:00,2020,3,9/27/2019 0:00, ,, 
 , ,200000 - 999999 -- INCOME STATEMENT,INCOME STATEMENT,200000 - 399999 -- REVENUES,220000 - 229999 -- STUDENT FEES & FEE REFUNDS,220000 - 229997 -- STUDENT FEES & FEE REFUNDS,220000 - 224999 -- STUDENT FEES,220120 -- MANDATORY STUDENT FEES (CCHE), , , ,220120,F12016572 KVCU SPRING 20,,,-73521,,ACTUALS,12010513,KVCU,20,10459,16079, , , , ,1500,STUDENT SERVICES, , , , , , ,, , ,BD5,10,1533905,1/24/2020 0:00,2020,7,1/31/2020 0:00, ,, 
 , ,200000 - 999999 -- INCOME STATEMENT,INCOME STATEMENT,200000 - 399999 -- REVENUES,220000 - 229999 -- STUDENT FEES & FEE REFUNDS,220000 - 229997 -- STUDENT FEES & FEE REFUNDS,220000 - 224999 -- STUDENT FEES,220120 -- MANDATORY STUDENT FEES (CCHE), , , ,220120,FY21 INITIAL BUDGET,,-144861,,,B_INI_TEMP,12010513,KVCU,20,10459,16079, , , , ,1500,STUDENT SERVICES, , , , , , ,, , ,B12,736,INIBUD21E,7/1/2020 0:00,2021,1,7/20/2020 0:00, ,, 
 , ,200000 - 999999 -- INCOME STATEMENT,INCOME STATEMENT,200000 - 399999 -- REVENUES,220000 - 229999 -- STUDENT FEES & FEE REFUNDS,220000 - 229997 -- STUDENT FEES & FEE REFUNDS,220000 - 224999 -- STUDENT FEES,220120 -- MANDATORY STUDENT FEES (CCHE), , , ,220120,F12016572 KVCU FALL 20,,,-72430,,ACTUALS,12010513,KVCU,20,10459,16079, , , , ,1500,STUDENT SERVICES, , , , , , ,, , ,BD5,10,1590633,9/29/2020 0:00,2021,3,9/30/2020 0:00, ,, 
 , ,200000 - 999999 -- INCOME STATEMENT,INCOME STATEMENT,400000 - 989999 -- EXPENDITURES,400000 - 418399 -- SALARIES AND WAGES,407500 - 409999 -- STD & OTH PER SAL,407500 - 407699 -- STD HR PAY,407500 -- STD HR PAY GEN BDG, , , ,407500,FY18 INITIAL BUDGET,,78707,,,B_INI_TEMP,12010513,KVCU,20,10459,16079, , , , ,1500,STUDENT SERVICES, , , , , , ,, , ,B12,202,INIBUD18A,7/1/2017 0:00,2018,1,6/1/2017 0:00, ,, 
 , ,200000 - 999999 -- INCOME STATEMENT,INCOME STATEMENT,400000 - 989999 -- EXPENDITURES,400000 - 418399 -- SALARIES AND WAGES,407500 - 409999 -- STD & OTH PER SAL,407500 - 407699 -- STD HR PAY,407500 -- STD HR PAY GEN BDG, , , ,407500,FY19 INITIAL BUDGET,,80188,,,B_INI_TEMP,12010513,KVCU,20,10459,16079, , , , ,1500,STUDENT SERVICES, , , , , , ,, , ,B12,132,INIBUD19B,7/1/2018 0:00,2019,1,6/14/2018 0:00, ,, 
 , ,200000 - 999999 -- INCOME STATEMENT,INCOME STATEMENT,400000 - 989999 -- EXPENDITURES,400000 - 418399 -- SALARIES AND WAGES,407500 - 409999 -- STD & OTH PER SAL,407500 - 407699 -- STD HR PAY,407500 -- STD HR PAY GEN BDG, , , ,407500,FY20 INITIAL BUDGET,,80188,,,B_INI_TEMP,12010513,KVCU,20,10459,16079, , , , ,1500,STUDENT SERVICES, , , , , , ,, , ,B12,29,INIBUD20E,7/1/2019 0:00,2020,1,7/2/2019 0:00, ,, 
 , ,200000 - 999999 -- INCOME STATEMENT,INCOME STATEMENT,400000 - 989999 -- EXPENDITURES,400000 - 418399 -- SALARIES AND WAGES,407500 - 409999 -- STD & OTH PER SAL,407500 - 407699 -- STD HR PAY,407600 -- STD HR PAY, , , ,407600,PAYROLL ACCRUAL FOR PAY1572362,,,3727.5,,ACTUALS,12010513,KVCU,20,10459,16079, , , , ,1500,STUDENT SERVICES, , , , , , ,, , ,PAY,896,PAYACR2362,6/30/2020 0:00,2020,996,7/8/2020 0:00, ,, 
 , ,200000 - 999999 -- INCOME STATEMENT,INCOME STATEMENT,400000 - 989999 -- EXPENDITURES,400000 - 418399 -- SALARIES AND WAGES,407500 - 409999 -- STD & OTH PER SAL,407500 - 407699 -- STD HR PAY,407600 -- STD HR PAY, , , ,407600,FY21 INITIAL BUDGET,,68188,,,B_INI_TEMP,12010513,KVCU,20,10459,16079, , , , ,1500,STUDENT SERVICES, , , , , , ,, , ,B12,737,INIBUD21E,7/1/2020 0:00,2021,1,7/20/2020 0:00, ,, 
